Date,Open,High,Low,Close,Adj Close,Volume
2021-09-29,408.0449684995728,409.7795802277792,406.7885546104285,407.35113525390625,407.35113525390625,82329200
2021-09-30,408.82324196639286,409.5264607159928,402.03484612674845,402.3724060058594,402.3724060058594,140506000
2021-10-01,404.0976283486504,408.8326231008619,400.58153463739126,407.1542663574219,407.1542663574219,129240100
2021-10-04,405.9915954205408,406.8917073430287,399.7657521393978,401.903564453125,401.903564453125,128570000
2021-10-05,403.4037355215152,408.3262663404989,402.6067772325321,406.0853576660156,406.0853576660156,90682500
2021-10-06,402.49420829771526,407.9793193826561,400.8721356232664,407.7730407714844,407.7730407714844,113032200
2021-10-07,411.0453440402457,414.1301089868626,410.8671930416219,411.2984924316406,411.2984924316406,72437500
2021-10-08,412.06743842451107,412.45186810178103,409.92026919841044,410.5484619140625,410.5484619140625,74557400
2021-10-11,409.89216791478833,412.79881127574237,407.5105922896659,407.57623291015625,407.57623291015625,65233300
2021-10-12,408.4951467022772,408.89831863461245,405.78539638345933,406.572998046875,406.572998046875,71181200
2021-10-13,407.5949901170963,408.85140428938456,404.62273464026305,408.0356750488281,408.0356750488281,72974000
2021-10-14,411.69244871973615,415.04916286579004,411.22363613283864,414.8991394042969,414.8991394042969,70236800
2021-10-15,417.0087329506892,418.42455590539737,416.38989699593026,418.0588684082031,418.0588684082031,66260200
2021-10-18,416.27735526871015,419.6340400404351,415.621006350095,419.2965087890625,419.2965087890625,62213200
2021-10-19,420.9186558175996,422.59698407803893,420.30917663549167,422.5313720703125,422.5313720703125,46996800
2021-10-20,422.99075914645675,424.4909648278342,422.878248727811,424.19091796875,424.19091796875,49571600
2021-10-21,423.5908483463569,425.5223536137635,423.1595488456662,425.2973327636719,425.2973327636719,41305400
2021-10-22,424.8660443425605,426.3099949344086,422.9157682107572,424.8566589355469,424.8566589355469,58845100
2021-10-25,425.9442668817109,427.4632147429343,424.17217058163135,427.1350402832031,427.1350402832031,45214500
2021-10-26,428.68211402620443,429.89162954029996,427.14439546156063,427.5194396972656,427.5194396972656,56075100
2021-10-27,427.9789361517596,428.6446418796485,425.55046225853243,425.62548828125,425.62548828125,72438000
2021-10-28,427.050677407055,429.80729721502064,427.0413206145411,429.7322998046875,429.7322998046875,51437900
2021-10-29,427.43510150597126,430.8949400235168,427.14444004690756,430.6042785644531,430.6042785644531,70162400
2021-11-01,431.5887642564896,431.96383713747196,429.61977470154915,431.3450012207031,431.3450012207031,48433600
2021-11-02,431.5138469111382,433.39848261578646,431.382565655628,433.08905029296875,433.08905029296875,48908400
2021-11-03,432.5264031559585,436.1362651463071,432.08571825925554,435.73309326171875,435.73309326171875,52509800
2021-11-04,436.3331630823048,437.8708818410705,435.9862464051318,437.7864990234375,437.7864990234375,52847100
2021-11-05,440.0085775067078,441.29311894097486,437.7957966505477,439.30535888671875,439.30535888671875,66390600
2021-11-08,440.4024705143944,440.89941061596096,438.9960330253521,439.68048095703125,439.68048095703125,50405200
2021-11-09,440.0461676231419,440.2805738708811,436.8207353651275,438.2271728515625,438.2271728515625,51149100
2021-11-10,436.53945827784827,438.2272005366199,433.2202862022842,434.70172119140625,434.70172119140625,69429700
2021-11-11,436.19246728766257,436.26749330276374,434.8235429594951,434.84228515625,434.84228515625,34848500
2021-11-12,436.1081050332003,438.67718819768925,435.161094692695,438.1239929199219,438.1239929199219,53466700
2021-11-15,439.40859470618256,439.56797493267015,437.14891501750157,438.2740478515625,438.2740478515625,46980500
2021-11-16,438.0115818851338,441.1432464437642,437.9365844635233,440.00872802734375,440.00872802734375,48857500
2021-11-17,439.7461325975495,439.9242836397509,438.3209528739824,438.9397888183594,438.9397888183594,47858300
2021-11-18,439.9710863467691,440.69307581212365,437.25197993727926,440.4305419921875,440.4305419921875,50625600
2021-11-19,440.31806790988196,441.5651251990252,439.27731788187225,439.64300537109375,439.64300537109375,57315600
2021-11-22,441.5181949166131,444.0028951339013,438.1989948186662,438.4052734375,438.4052734375,72762000
2021-11-23,438.0771663973215,439.8399060268832,435.4799553727706,438.9866638183594,438.9866638183594,73206500
2021-11-24,436.9894839645097,440.28055671099236,436.17375483241744,440.1586608886719,440.1586608886719,61858800
2021-11-26,433.50152742675596,434.96422009835896,429.21657442443677,430.34173583984375,430.34173583984375,112669600
2021-11-29,435.1236348523177,437.4583119148909,432.92959581507233,435.6205749511719,435.6205749511719,86268800
